ticker,name,group,exposure,mem_ratio,float_mcap,eligible,탈락사유,selection_date,ff_market_cap_asof,ff_market_cap_source,free_float_asof,code_commit
000660,SK하이닉스,anchor,0.25,0.95,86665441942725.75,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-19,3a2cf78f90cc4ccc73657f0161576726592f9c3f
003160,디아이,satellite,0.0,0.85,170822337500.0,False,공정/위원회 미확인,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-14,3a2cf78f90cc4ccc73657f0161576726592f9c3f
005290,동진쎄미켐,core,0.0,0.55,689547028715.8201,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-14,3a2cf78f90cc4ccc73657f0161576726592f9c3f
005930,삼성전자,anchor,0.05,0.31,262570736831415.0,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-12,3a2cf78f90cc4ccc73657f0161576726592f9c3f
007660,이수페타시스,core,0.0,0.1,1035371074990.1699,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-21,3a2cf78f90cc4ccc73657f0161576726592f9c3f
014680,한솔케미칼,core,0.0,0.5,915987019626.45,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-12,3a2cf78f90cc4ccc73657f0161576726592f9c3f
033160,엠케이전자,core,0.0,0.5,88306543906.308,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-21,3a2cf78f90cc4ccc73657f0161576726592f9c3f
036540,SFA반도체,satellite,0.0,0.75,236346723742.815,False,공정/위원회 미확인,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-20,3a2cf78f90cc4ccc73657f0161576726592f9c3f
036930,주성엔지니어링,satellite,0.0,0.7,910094326186.5901,False,공정/위원회 미확인,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-18,3a2cf78f90cc4ccc73657f0161576726592f9c3f
039030,이오테크닉스,core,0.0,0.5,961559849607.0,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-20,3a2cf78f90cc4ccc73657f0161576726592f9c3f
042700,한미반도체,core,0.35,0.8,3242619932257.8604,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-14,3a2cf78f90cc4ccc73657f0161576726592f9c3f
061970,LB세미콘,core,0.0,0.2,96480005240.88,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-19,3a2cf78f90cc4ccc73657f0161576726592f9c3f
064290,인텍플러스,core,0.0,0.4,96397385643.2,False,ADV60<10억,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-20,3a2cf78f90cc4ccc73657f0161576726592f9c3f
067310,하나마이크론,core,0.0,0.6,455848810905.6,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-20,3a2cf78f90cc4ccc73657f0161576726592f9c3f
086390,유니테스트,core,0.0,0.55,141640278428.22,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-15,3a2cf78f90cc4ccc73657f0161576726592f9c3f
089030,테크윙,satellite,0.1,0.8,1079701505678.25,False,공정/위원회 미확인,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-18,3a2cf78f90cc4ccc73657f0161576726592f9c3f
095340,ISC,core,0.0,0.3,517140384614.39996,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-20,3a2cf78f90cc4ccc73657f0161576726592f9c3f
102710,이엔에프테크놀로지,core,0.0,0.65,146302811381.136,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-18,3a2cf78f90cc4ccc73657f0161576726592f9c3f
104830,원익머트리얼즈,core,0.0,0.6,115541628416.00002,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-20,3a2cf78f90cc4ccc73657f0161576726592f9c3f
112290,와이씨켐,satellite,0.05,0.75,77229650746.125,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-21,3a2cf78f90cc4ccc73657f0161576726592f9c3f
131290,티에스이,core,0.03,0.6,186388839535.86,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-19,3a2cf78f90cc4ccc73657f0161576726592f9c3f
166090,하나머티리얼즈,core,0.0,0.5,244092096973.19998,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-15,3a2cf78f90cc4ccc73657f0161576726592f9c3f
195870,해성디에스,core,0.0,0.35,234411045000.0,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-14,3a2cf78f90cc4ccc73657f0161576726592f9c3f
222800,심텍,satellite,0.0,0.75,233003627218.672,False,공정/위원회 미확인,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-21,3a2cf78f90cc4ccc73657f0161576726592f9c3f
253590,네오셈,satellite,0.0,0.9,161962189730.668,False,공정/위원회 미확인,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-19,3a2cf78f90cc4ccc73657f0161576726592f9c3f
281820,케이씨텍,core,0.0,0.6,295869017970.0,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-20,3a2cf78f90cc4ccc73657f0161576726592f9c3f
322310,오로스테크놀로지,satellite,0.0,0.8,59493352422.895996,False,ADV60<10억;공정/위원회 미확인,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-19,3a2cf78f90cc4ccc73657f0161576726592f9c3f
348210,넥스틴,core,0.02,0.65,414992366075.0,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-20,3a2cf78f90cc4ccc73657f0161576726592f9c3f
353200,대덕전자,core,0.0,0.45,475067532976.64996,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-20,3a2cf78f90cc4ccc73657f0161576726592f9c3f
357780,솔브레인,satellite,0.02,0.7,759561412768.0,False,공정/위원회 미확인,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-18,3a2cf78f90cc4ccc73657f0161576726592f9c3f
394280,오픈엣지테크놀로지,core,0.08,0.2,184879728383.625,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-21,3a2cf78f90cc4ccc73657f0161576726592f9c3f
403870,HPSP,core,0.0,0.4,1284272205289.5999,True,,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-21,3a2cf78f90cc4ccc73657f0161576726592f9c3f
425040,티이엠씨,satellite,0.0,0.8,109924054065.63,False,공정/위원회 미확인,2024-11-29,2024-11-29,pykrx 시총 x 원장 free_float,2024-03-20,3a2cf78f90cc4ccc73657f0161576726592f9c3f
